item_code,brand_x,brand_y,manufacturer,id,mrp,count
407416,himalaya trikatu tablet 60's,himalaya menosan tablet 60s,Reckitt Benckiser India Pvt Ltd,210978.0,82,20
407416,himalaya trikatu tablet 60's,himalaya pilex tablet 60s,Reckitt Benckiser India Pvt Ltd,211024.0,82,20
407416,himalaya trikatu tablet 60's,himalaya reosto tablet 60s,Reckitt Benckiser India Pvt Ltd,211044.0,82,20
407416,himalaya trikatu tablet 60's,himalaya rumalaya tablet 60s,Reckitt Benckiser India Pvt Ltd,211052.0,82,20
407416,himalaya trikatu tablet 60's,himalaya septilin tablet 60s,Reckitt Benckiser India Pvt Ltd,211056.0,82,20
407416,himalaya trikatu tablet 60's,himalaya abana tablet 60s,Reckitt Benckiser India Pvt Ltd,364394.0,82,20
407416,himalaya trikatu tablet 60's,himalaya confido tablet 60s,Reckitt Benckiser India Pvt Ltd,364419.0,82,20
407416,himalaya trikatu tablet 60's,himalaya diabecon tablet 60s,Reckitt Benckiser India Pvt Ltd,364423.0,82,20
407416,himalaya trikatu tablet 60's,himalaya purim tablet 60s,Reckitt Benckiser India Pvt Ltd,364483.0,82,20
407416,himalaya trikatu tablet 60's,himalaya speman tablet 60s,Reckitt Benckiser India Pvt Ltd,376669.0,82,20
407416,himalaya trikatu tablet 60's,himalaya ashvagandha tablet 60s,Reckitt Benckiser India Pvt Ltd,376923.0,82,20
407416,himalaya trikatu tablet 60's,himalaya arjuna tablet 60s,Reckitt Benckiser India Pvt Ltd,376924.0,82,20
407416,himalaya trikatu tablet 60's,himalaya pilex tablet 60s,Reckitt Benckiser India Pvt Ltd,377004.0,82,20
407416,himalaya trikatu tablet 60's,himalaya methi tablet 60s,Reckitt Benckiser India Pvt Ltd,380026.0,82,20
407416,himalaya trikatu tablet 60's,himalaya shatavari tablets 60s,Reckitt Benckiser India Pvt Ltd,381044.0,82,20
407416,himalaya trikatu tablet 60's,himalaya wellness pure herbs trikatu digestive wellness tablet 60s,Reckitt Benckiser India Pvt Ltd,211122.0,82,20
802918,himalaya gokshura tablet 60's,himalaya wellness pure herbs gokshura tablet 60s,Reckitt Benckiser India Pvt Ltd,364509.0,245,20
802918,himalaya gokshura tablet 60's,himalaya bresol tablet 60s,Reckitt Benckiser India Pvt Ltd,210838.0,245,20
802918,himalaya gokshura tablet 60's,himalaya cystone tablet 60s,Reckitt Benckiser India Pvt Ltd,210857.0,245,20
802918,himalaya gokshura tablet 60's,himalaya hadjod tablet 60s,Reckitt Benckiser India Pvt Ltd,210913.0,245,20
802918,himalaya gokshura tablet 60's,himalaya lukol tablet 60s,Reckitt Benckiser India Pvt Ltd,210971.0,245,20
802918,himalaya gokshura tablet 60's,himalaya menosan tablet 60s,Reckitt Benckiser India Pvt Ltd,210978.0,245,20
802918,himalaya gokshura tablet 60's,himalaya pilex tablet 60s,Reckitt Benckiser India Pvt Ltd,211024.0,245,20
802918,himalaya gokshura tablet 60's,himalaya reosto tablet 60s,Reckitt Benckiser India Pvt Ltd,211044.0,245,20
802918,himalaya gokshura tablet 60's,himalaya rumalaya tablet 60s,Reckitt Benckiser India Pvt Ltd,211052.0,245,20
802918,himalaya gokshura tablet 60's,himalaya septilin tablet 60s,Reckitt Benckiser India Pvt Ltd,211056.0,245,20
802918,himalaya gokshura tablet 60's,himalaya abana tablet 60s,Reckitt Benckiser India Pvt Ltd,364394.0,245,20
802918,himalaya gokshura tablet 60's,himalaya confido tablet 60s,Reckitt Benckiser India Pvt Ltd,364419.0,245,20
802918,himalaya gokshura tablet 60's,himalaya diabecon tablet 60s,Reckitt Benckiser India Pvt Ltd,364423.0,245,20
